1524696807.57,317,
1524696808.07,313,
1524696808.57,314,
1524696809.07,319,
1524696809.57,324,
1524696810.07,301,
1524696810.57,293,
1524696811.08,379,
1524696811.58,430,
1524696812.08,364,
1524696812.58,183,
1524696813.08,140,
1524696813.58,192,
1524696814.08,202,
1524696814.58,328,
1524696815.08,511,
1524696815.58,469,
1524696816.08,242,
1524696816.58,238,
1524696817.09,364,
1524696817.59,295,
1524696818.09,423,
1524696818.59,788,
1524696819.09,711,
1524696819.59,844,
1524696820.09,1029,
1524696820.59,1255,
1524696821.09,1508,
1524696821.59,758,
1524696822.09,874,
1524696822.59,799,
1524696823.09,435,
1524696823.59,625,
1524696824.09,667,
1524696824.59,449,
1524696825.09,556,
1524696825.59,484,
1524696826.1,363,
1524696826.6,379,
1524696827.1,247,
1524696827.6,194,
1524696828.1,238,
1524696828.6,1118,
1524696829.1,7182,
1524696829.6,4866,
1524696830.1,2328,
1524696830.6,2191,
1524696831.1,1306,
1524696831.61,1168,
1524696832.1,791,
1524696832.6,684,
1524696833.11,800,
1524696833.61,589,
1524696834.11,650,
1524696834.61,549,
1524696835.11,495,
1524696835.61,509,
1524696836.11,517,
